"counter","timestamp","perfusion_index","heart_rate","hr_quality","energy_expenditure","ee_quality","local_temperature","steps_per_minute","blood_pulse_wave","barometer_temperature","heart_rate_variability","hrv_quality","object_temperature","motion_activity","respiration_rate","rr_quality","activity_classification","ac_quality","gsr_electrode","SpO2","SpO2_quality","barometer_pressure"
"435725","1542324569","0.14","54","52","20.044","100","28.25","0","2.38","27.19","106","53","29.28","0.784314","16","79","9","59","18.5433","0","0","1008.9"
"435726","1542324570","0.14","54","59","20.044","100","28.25","0","2.64","27.19","107","53","29.22","0.784314","15","78","9","58","19.1857","0","0","1009"
"435727","1542324571","0.14","56","74","20.044","100","28.25","0","2.7","27.06","107","53","29.16","0.784314","15","78","9","57","19.5913","0","0","1008.6"
"435728","1542324572","0.12","55","65","20.044","100","28.25","0","3.16","27.19","107","53","29.13","0.784314","15","78","9","56","19.5913","0","0","1008.9"
"435729","1542324573","0.12","53","71","20.044","100","28.25","0","3.16","27.19","106","53","29.09","0.784314","16","78","9","55","17.9357","0","0","1009"
"435730","1542324574","0.12","53","72","20.044","100","28.28","0","2.7","27.25","106","53","29.25","0.784314","16","78","9","54","18.9087","0","0","1009.2"
"435731","1542324575","0.14","52","71","20.044","100","28.28","0","2.7","27.38","107","53","29.31","0.784314","16","78","9","53","19.5913","0","0","1009.4"
"435732","1542324576","0.14","51","51","20.044","100","28.28","0","2.64","27.19","106","53","29.22","3.52941","16","78","9","52","18.9087","0","0","1008.9"
"435733","1542324577","0.14","51","68","20.044","100","28.28","0","2.64","27.25","106","53","29.22","3.13725","16","78","9","53","18.9087","0","0","1009.2"
"435734","1542324578","0.14","51","62","20.044","100","28.28","0","2.38","27.19","106","53","29.22","1.17647","16","77","9","54","18.2657","0","0","1009"
"435735","1542324579","0.14","51","70","20.044","100","28.31","0","2.38","27.31","105","53","29.34","1.17647","16","77","9","55","18.2657","0","0","1009.2"
"435736","1542324580","0.14","50","67","20.044","100","28.31","0","2.26","27.19","104","53","29.41","1.17647","16","77","9","55","18.9087","0","0","1008.6"
"435737","1542324581","0.14","49","62","20.044","100","28.31","0","2.26","27.13","106","53","29.34","0.784314","16","77","9","56","19.5913","0","0","1008.7"
"435738","1542324582","0.14","52","62","20.044","100","28.31","0","2.26","27.13","106","53","29.28","1.17647","16","77","9","57","18.9087","0","0","1008.6"
"435739","1542324583","0.14","53","62","20.044","100","28.31","0","2.26","27.38","105","53","29.22","0.784314","16","77","9","58","18.2657","0","0","1009.2"
"435740","1542324584","0.14","53","62","20.044","100","28.31","0","2.26","27.31","106","53","29.22","0.784314","16","77","9","58","18.2657","0","0","1008.9"
"435741","1542324585","0.14","52","62","20.044","100","28.31","0","1.86","27.25","104","53","29.22","0.784314","16","77","9","59","18.9087","0","0","1008.9"
"435742","1542324586","0.14","52","62","20.044","100","28.34","0","1.86","27.31","102","53","29.34","0.784314","16","77","9","60","19.5913","0","0","1009"
"435743","1542324587","0.14","52","62","20.044","100","28.34","0","1.52","27.38","101","53","29.28","0.784314","16","77","9","60","18.2657","0","0","1009.1"
"435744","1542324588","0.14","52","62","20.044","100","28.34","0","1.52","27.19","101","53","29.25","0.784314","15","77","9","61","18.2657","0","0","1008.5"
"435745","1542324589","0.14","52","62","20.044","100","28.34","0","1.4","27.25","102","53","29.25","0.784314","15","77","9","62","18.586","0","0","1008.7"
"435746","1542324590","0.16","55","62","20.044","100","28.34","0","1.4","27.38","103","53","29.25","0.784314","15","77","9","62","19.2647","0","0","1009"
"435747","1542324591","0.16","56","70","20.044","100","28.38","0","1.38","27.31","103","53","29.41","0.784314","15","77","9","63","19.9883","0","0","1008.9"
"435748","1542324592","0.16","57","71","20.044","100","28.38","0","1.22","27.25","103","53","29.44","0.784314","15","77","9","63","18.9087","0","0","1008.9"
"435749","1542324593","0.18","57","67","20.044","100","28.38","0","1.22","27.25","103","53","29.38","0.784314","15","77","9","64","18.2657","0","0","1008.8"
"435750","1542324594","0.18","57","77","20.044","100","28.38","0","1.22","27.25","102","53","29.34","0.784314","15","77","9","63","18.2657","0","0","1008.7"
"435751","1542324595","0.2","57","77","20.044","100","28.38","0","1.38","27.31","102","53","29.31","0.784314","15","77","9","62","18.586","0","0","1008.8"
"435752","1542324596","0.2","58","83","20.044","100","28.38","0","1.38","27.38","102","53","29.31","0.784314","14","78","9","61","19.2647","0","0","1009.1"
"435753","1542324597","0.2","58","82","20.044","100","28.41","0","1.38","27.38","101","53","29.5","0.784314","14","78","9","60","19.2647","0","0","1008.9"
"435754","1542324598","0.2","58","83","20.044","100","28.41","0","1.38","27.44","101","53","29.47","0.784314","14","78","9","59","19.2647","0","0","1009.1"
"435755","1542324599","0.22","59","86","20.044","100","28.41","0","1.4","27.25","101","53","29.41","0.784314","14","78","9","58","18.586","0","0","1008.7"
"435756","1542324600","0.28","57","81","20.044","100","28.41","0","1.4","27.31","101","53","29.41","0.784314","13","77","9","57","19.2647","0","0","1008.7"
"435757","1542324601","0.3","56","80","20.044","100","28.41","0","1.4","27.31","100","53","29.38","0.784314","13","77","9","56","19.608","0","0","1008.9"
"435758","1542324602","0.3","55","78","20.044","100","28.41","0","1.4","27.5","100","53","29.34","0.784314","13","77","9","55","19.2647","0","0","1009.3"
"435759","1542324603","0.28","55","79","20.044","100","28.41","0","1.4","27.31","100","53","29.38","0.784314","13","78","9","54","18.586","0","0","1008.8"
"435760","1542324604","0.28","56","81","20.044","100","28.44","0","1.4","27.38","100","53","29.56","0.784314","13","78","9","53","17.9483","0","0","1008.9"
"435761","1542324605","0.28","55","82","20.044","100","28.44","0","1.4","27.38","101","53","29.5","0.784314","12","78","9","52","18.225","0","0","1008.9"
"435762","1542324606","0.28","54","79","20.044","100","28.44","0","1.46","27.38","101","53","29.5","2.35294","12","78","9","52","19.2647","0","0","1009"
"435763","1542324607","0.28","54","75","20.044","100","28.44","0","1.46","27.31","103","53","29.44","2.35294","12","78","9","51","19.608","0","0","1008.9"
"435764","1542324608","0.28","55","81","20.044","100","28.44","0","1.48","27.44","103","53","29.44","1.17647","12","78","9","50","18.8937","0","0","1009.1"
"435765","1542324609","0.28","56","79","20.044","100","28.47","0","1.48","27.44","102","53","29.56","0.784314","12","78","9","51","18.2657","0","0","1009"
"435766","1542324610","0.28","56","87","20.044","100","28.47","0","1.48","27.5","102","53","29.59","0.784314","12","78","9","51","19.2647","0","0","1009.2"
"435767","1542324611","0.28","56","80","20.044","100","28.47","0","1.52","27.44","102","53","29.53","0.784314","12","78","9","52","19.608","0","0","1009"
"435768","1542324612","0.28","56","80","20.044","100","28.47","0","1.68","27.38","102","53","29.53","0.784314","12","78","9","53","18.586","0","0","1008.8"
"435769","1542324613","0.28","56","80","20.044","100","28.47","0","1.68","27.44","102","53","29.47","0.784314","12","78","9","54","17.9483","0","0","1008.9"
"435770","1542324614","0.28","53","72","20.044","100","28.47","0","1.68","27.44","102","53","29.47","0.784314","13","78","9","55","18.225","0","0","1008.9"
"435771","1542324615","0.26","52","77","20.044","100","28.47","0","1.76","27.5","103","53","29.44","0.784314","13","78","9","55","18.586","0","0","1009"
"435772","1542324616","0.24","51","78","20.044","100","28.5","0","1.76","27.31","103","53","29.56","0.784314","13","78","9","56","19.2647","0","0","1008.6"
"435773","1542324617","0.22","51","80","20.044","100","28.5","0","1.8","27.44","102","53","29.59","0.784314","12","77","9","57","18.586","0","0","1009"
"435774","1542324618","0.22","52","84","20.044","100","28.5","0","1.8","27.44","102","53","29.53","0.784314","12","77","9","58","17.9483","0","0","1008.8"
"435775","1542324619","0.2","52","82","20.044","100","28.5","0","2.12","27.44","100","53","29.5","0.784314","13","77","9","57","18.8937","0","0","1009"
"435776","1542324620","0.2","53","87","20.044","100","28.5","0","2.12","27.38","96","53","29.5","0.784314","13","77","9","56","18.586","0","0","1008.8"
"435777","1542324621","0.2","53","87","20.044","100","28.5","0","2.12","27.44","96","53","29.47","0.784314","13","77","9","55","18.8937","0","0","1008.9"
"435778","1542324622","0.2","53","88","20.044","100","28.5","0","2.14","27.44","97","53","29.47","0.784314","13","77","9","54","19.608","0","0","1008.9"
"435779","1542324623","0.2","53","90","20.044","100","28.53","0","2.2","27.5","97","53","29.59","0.784314","13","77","9","53","18.225","0","0","1009.1"
"435780","1542324624","0.2","53","90","20.044","100","28.53","0","2.32","27.5","97","53","29.63","0.784314","13","77","9","52","18.225","0","0","1009"
"435781","1542324625","0.2","53","89","20.044","100","28.53","0","2.32","27.38","97","53","29.56","0.784314","13","77","9","51","18.225","0","0","1008.6"
"435782","1542324626","0.2","52","87","20.044","100","28.53","0","2.32","27.5","97","53","29.53","0.784314","13","77","9","50","19.935","0","0","1009"
"435783","1542324627","0.2","52","87","20.044","100","28.53","0","2.26","27.56","98","53","29.5","0.784314","13","77","9","49","18.586","0","0","1009.1"
